Province/State,Country/Region,Lat,Long,1/22/20,1/23/20
,Sweden,63.0,16.0,10120000,
,Switzerland,46.8182,8.2275,8570000,
,Poland,51.9194,19.1451,38386000,
,Italy,43.0,12.0,60317546,
,US,37.0902,-95.7129,328239523,
,Spain,40.0,-4.0,46733038,
,United Kingdom,55.3781,-3.4360000000000004,67765480,
,Germany,51.0,9.0,83783942,
,Denmark,56.2639,9.5018,5792202,
,Norway,60.472,8.4689,5405345,
,Finland,64.0,26.0,5540000,
,Iceland,64.9631,-19.0208,341243,





